"No.","Time","Source","Destination","Protocol","Length","Info"
"68","0.591034988","94.130.237.200","100.94.78.223","TLSv1.3","1262","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"69","0.591050583","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2381 Ack=36347 Win=31872 Len=0 TSval=1610294050 TSecr=2726633883"
"70","0.898625772","100.94.78.223","94.130.237.200","TLSv1.3","234","Application Data"
"71","1.004005189","94.130.237.200","100.94.78.223","TCP","2962","443  >  46500 [ACK] Seq=36347 Ack=2549 Win=64128 Len=2896 TSval=2726634296 TSecr=1610294358 [TCP segment of a reassembled PDU]"
"72","1.004028743","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2549 Ack=39243 Win=31872 Len=0 TSval=1610294463 TSecr=2726634296"
"73","1.004053016","94.130.237.200","100.94.78.223","TLSv1.3","931","Application Data"
"74","1.004056033","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2549 Ack=40108 Win=31872 Len=0 TSval=1610294463 TSecr=2726634296"
"75","6.398890305","100.94.78.223","94.130.237.200","TLSv1.3","172","Application Data"
"76","6.519974090","94.130.237.200","100.94.78.223","TLSv1.3","1188","Application Data"
"77","6.519989137","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2655 Ack=41230 Win=31872 Len=0 TSval=1610299979 TSecr=2726639812"
"78","6.520088018","94.130.237.200","100.94.78.223","TLSv1.3","331","Application Data"
"79","6.520091425","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2655 Ack=41495 Win=31872 Len=0 TSval=1610299979 TSecr=2726639812"
"80","6.520264307","94.130.237.200","100.94.78.223","TLSv1.3","349","Application Data"
"81","6.520267428","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2655 Ack=41778 Win=31872 Len=0 TSval=1610299979 TSecr=2726639813"
"82","6.520342695","94.130.237.200","100.94.78.223","TLSv1.3","165","Application Data"
"83","6.520344850","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2655 Ack=41877 Win=31872 Len=0 TSval=1610299979 TSecr=2726639813"
"84","6.520396909","94.130.237.200","100.94.78.223","TLSv1.3","144","Application Data"
"85","6.520399557","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2655 Ack=41955 Win=31872 Len=0 TSval=1610299979 TSecr=2726639813"
"86","6.520459951","94.130.237.200","100.94.78.223","TLSv1.3","135","Application Data"
"87","6.520459970","94.130.237.200","100.94.78.223","TLSv1.3","123","Application Data"
"88","6.520462207","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2655 Ack=42024 Win=31872 Len=0 TSval=1610299979 TSecr=2726639813"
"89","6.520463274","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2655 Ack=42081 Win=31872 Len=0 TSval=1610299979 TSecr=2726639813"
"90","6.520613930","94.130.237.200","100.94.78.223","TLSv1.3","245","Application Data"
"91","6.520615270","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2655 Ack=42260 Win=31872 Len=0 TSval=1610299980 TSecr=2726639813"
